UNIX_TIMESTAMP,TIME_HH_MM_SS_FF,MESSAGE,GEAR,WHEEL,PEDAL_GAS,PEDAL_BRAKE,PEDAL_CLUTCH,D_PAD,POTMETER_PRESSED,POTMETER_LEFT,POTMETER_RIGHT:,A,B,X,Y,TAB,XBOX,YELLOW:,SHIFT_PEDAL_LEFT,SHIFT_PEDAL_RIGHT
1685541852,15:04:12:73,,GEAR-4,1283,692,0,348,DOWN,true,true,,true,true,true,false,false,false,,true,true
1685541853,15:04:13:75,,GEAR-3,5952,78,1019,19,DOWN-LEFT,true,false,,true,true,false,true,false,true,,true,false
1685541854,15:04:14:76,,GEAR-5,-13206,112,627,832,DOWN,true,true,,false,false,false,true,false,true,,true,false
1685541855,15:04:15:76,,GEAR-4,31269,194,961,117,IDLE,true,false,,true,true,false,false,true,false,,false,true
1685541856,15:04:16:79,,GEAR-4,107,1003,594,936,DOWN,true,true,,false,true,false,false,true,false,,true,false
1685541857,15:04:17:77,,GEAR-7,-8755,560,681,717,DOWN-LEFT,true,false,,false,true,true,false,true,true,,true,true
1685541858,15:04:18:78,,GEAR-5,-21570,804,332,858,UP-LEFT,false,false,,false,false,false,true,true,true,,false,false
1685541859,15:04:19:79,,GEAR-5,-19270,682,252,874,UP-RIGHT,false,true,,true,false,false,true,false,true,,false,true
1685541860,15:04:20:79,,GEAR-1,-11662,225,352,495,DOWN-LEFT,true,false,,false,false,false,false,true,false,,true,false
1685541861,15:04:21:80,,IDLE,-16905,885,407,216,RIGHT,false,false,,true,true,true,true,false,true,,true,true
1685541862,15:04:22:80,,GEAR-4,-12432,883,348,178,DOWN,false,false,,false,false,true,true,true,true,,true,true
1685541863,15:04:23:84,,GEAR-3,-8023,778,456,465,IDLE,true,false,,false,true,false,true,true,false,,true,true
1685541864,15:04:24:82,,GEAR-R,2623,573,673,122,DOWN-RIGHT,true,false,,true,false,true,true,false,false,,true,true
1685541865,15:04:25:82,,GEAR-5,-7640,58,310,19,IDLE,true,false,,true,true,true,false,true,false,,false,false
1685541866,15:04:26:87,,GEAR-1,-5655,700,160,217,UP-LEFT,false,true,,true,false,true,true,true,false,,false,true
1685541867,15:04:27:84,,GEAR-1,-5739,686,141,947,DOWN-RIGHT,true,true,,false,true,true,false,false,false,,true,true
1685541868,15:04:28:86,,GEAR-1,-27476,818,854,942,UP,false,false,,false,true,true,true,true,true,,false,false
1685541869,15:04:29:87,,GEAR-5,-8117,102,710,1013,LEFT,false,false,,true,false,true,true,true,true,,true,false
1685541870,15:04:30:88,,GEAR-2,-4017,141,733,891,DOWN-RIGHT,false,true,,true,true,true,false,true,true,,true,true
1685541871,15:04:31:89,,GEAR-2,-20004,552,385,209,DOWN-RIGHT,true,true,,false,true,false,true,true,true,,false,true
1685541872,15:04:32:90,,GEAR-1,-2314,717,299,626,DOWN-LEFT,false,true,,true,false,true,true,true,true,,true,true
1685541873,15:04:33:89,,GEAR-5,-8372,468,277,555,IDLE,false,false,,true,false,false,true,false,true,,true,true
1685541874,15:04:34:89,,GEAR-2,-4422,246,454,440,DOWN-RIGHT,true,false,,true,true,true,false,true,false,,false,true
1685541875,15:04:35:91,,GEAR-1,30778,171,352,145,UP-LEFT,false,false,,false,true,false,true,true,false,,false,false
1685541876,15:04:36:92,,GEAR-2,-22517,713,356,162,DOWN,true,false,,true,true,false,true,true,false,,true,true
1685541877,15:04:37:93,,GEAR-4,-31270,354,489,413,RIGHT,false,false,,true,false,false,true,false,false,,false,false
